StudentID,StudentName,Grade,Email,AssessmentID,Subject,TotalMarks,QuestionID,CorrectAnswer,ResultID,MarksObtained,Percentage,AttemptDate,TeacherName,AttendanceStatus
STU000020,Alexander Pirrone,Class 6,alexander.pirrone669@school.edu,ASM00021,Biology,100,Q000020,A,RES000020,36,36.0,2025-10-23,Mr. Sharma,Present
STU000021,Frank Hall,Grade 6,frank.hall986@school.edu,ASM00022,Mathematics,200,Q000021,D,RES000021,154,77.0,2024-04-19,Ms. Patel,Absent
STU000022,Dave Hoefle,Grade 6,abc@gmail.com,ASM00023,History,200,Q000022,D,RES000022,172,86.0,2024-07-16,Mr. Kumar,Late
STU000023,Louise Barney,Class 6,louise.barney393@school.edu,ASM00024,English,100,Q000023,C,RES000023,74,74.0,2025-08-09,Mr. Joshi,Present
STU000024,Sean Brown,Grade 11,sean.brown655@school.edu,ASM00025,Accounts,75,Q000024,C,RES000024,17,22.67,2025-05-04,Mrs. Singh,Excused
STU000025,Elizabeth Campbell,Grade 11,elizabeth.campbell458@school.edu,ASM00026,Physics,50,Q000025,B,RES000025,35,70.0,2025-06-01,Ms. Nair,Late
STU000026,Karen Horne,Grade 8,karen.horne57@school.edu,ASM00027,Economics,150,Q000026,C,RES000026,144,96.0,2024-02-29,Ms. Nair,Excused
STU000027,Roosevelt Lemons,Grade 6,roosevelt.lemons66@school.edu,ASM00028,Physics,50,Q000027,B,RES000027,18,36.0,2025-02-22,Mr. Joshi,Late
STU000028,Hazel Carroll,Grade 11,hazel.carroll553@school.edu,ASM00029,Physics,200,Q000028,B,RES000028,100,50.0,2025-06-25,Mr. Joshi,Present
STU000029,Danielle Mccoy,Grade 10,abc@gmail.com,ASM00030,Biology,50,Q000029,A,RES000029,42,84.0,2025-03-05,Ms. Nair,Absent
STU000030,Julia Boyle,Class 6,julia.boyle46@school.edu,ASM00031,Biology,50,Q000030,C,RES000030,8,16.0,2025-05-30,Mr. Shah,Absent
STU000031,John Harris,Grade 8,john.harris571@school.edu,ASM00032,Geography,50,Q000031,C,RES000031,22,44.0,2025-10-20,Mr. Shah,Excused
STU000032,Carrie Sierra,Class 6,carrie.sierra725@school.edu,ASM00033,Mathematics,150,Q000032,B,RES000032,142,94.67,2025-06-26,Ms. Gupta,Absent
STU000033,William Schuler,Class 8,abc@gmail.com,ASM00034,Accounts,50,Q000033,D,RES000033,12,24.0,2025-08-24,Mrs. Singh,Late
STU000034,Matthew Mathis,Class 8,matthew.mathis491@school.edu,ASM00035,Biology,75,Q000034,D,RES000034,70,93.33,2024-11-25,Mrs. Reddy,Late
STU000035,Judith Keaton,Grade 12,judith.keaton380@school.edu,ASM00036,Mathematics,75,Q000035,D,RES000035,2,2.67,2024-09-24,Mrs. Singh,Absent
STU000036,Martha March,Class 6,martha.march264@school.edu,ASM00037,Computer Science,100,Q000036,B,RES000036,21,21.0,2024-05-23,Mr. Sharma,Present
STU000037,Florence Bemis,Grade 6,florence.bemis725@school.edu,ASM00038,Biology,100,Q000037,D,RES000037,7,7.0,2025-09-24,Mr. Sharma,Present
STU000039,Ann Guimond,Grade 6,ann.guimond848@school.edu,ASM00040,Physics,150,Q000039,A,RES000039,96,64.0,2025-07-19,Ms. Gupta,Present
STU000040,Ann Nelson,Class 8,ann.nelson236@school.edu,ASM00041,Computer Science,50,Q000040,A,RES000040,4,8.0,2025-12-01,Mr. Joshi,Late
STU000041,Tom German,Grade 12,abc@gmail.com,ASM00042,Economics,150,Q000041,C,RES000041,35,23.33,2025-12-06,Ms. Nair,Present
STU000042,Grace Hines,Grade 10,grace.hines335@school.edu,ASM00043,Computer Science,75,Q000042,B,RES000042,45,60.0,2025-07-20,Ms. Patel,Present
STU000043,Hattie Phillips,Grade 8,abc@gmail.com,ASM00044,Geography,100,Q000043,C,RES000043,13,13.0,2024-04-03,Mr. Joshi,Late
STU000044,Angela Singleton,Grade 7,angela.singleton106@school.edu,ASM00045,History,200,Q000044,C,RES000044,153,76.5,2024-11-28,Mrs. Singh,Excused
STU000045,Brenda Mayhugh,Grade 10,brenda.mayhugh174@school.edu,ASM00046,English,150,Q000045,C,RES000045,37,24.67,2024-03-05,Mrs. Singh,Late
STU000046,Doris Flynt,Grade 7,doris.flynt201@school.edu,ASM00047,Chemistry,50,Q000046,C,RES000046,25,50.0,2024-12-06,Ms. Nair,Late
STU000047,Robert Napper,Grade 11,robert.napper206@school.edu,ASM00048,Chemistry,100,Q000047,B,RES000047,37,37.0,2025-12-12,Ms. Patel,Excused
STU000048,Madie Maisenbacher,Class 7,madie.maisenbacher185@school.edu,ASM00049,Mathematics,75,Q000048,D,RES000048,56,74.67,2024-10-25,Mr. Kumar,Absent
STU000049,Zack Rodgers,Class 8,zack.rodgers613@school.edu,ASM00050,Geography,200,Q000049,A,RES000049,9,4.5,2025-01-03,Ms. Nair,Absent
STU000050,Tim Maisenbacher,Grade 12,tim.maisenbacher410@school.edu,ASM00051,Physics,50,Q000050,B,RES000050,16,32.0,2024-08-15,Mr. Shah,Late
STU000052,Dana Allen,Grade 6,dana.allen728@school.edu,ASM00053,History,75,Q000052,B,RES000052,31,41.33,2025-06-12,Mr. Kumar,Excused
STU000053,Doreen Gillette,Grade 9,doreen.gillette30@school.edu,ASM00054,Computer Science,150,Q000053,C,RES000053,1,0.67,2025-12-22,Mrs. Reddy,Present
STU000054,Micah Salviejo,Grade 11,micah.salviejo990@school.edu,ASM00055,Accounts,200,Q000054,C,RES000054,100,50.0,2025-08-24,Ms. Nair,Absent
STU000055,Marvin Wilkinson,Grade 10,marvin.wilkinson121@school.edu,ASM00056,Physics,100,Q000055,D,RES000055,88,88.0,2024-05-24,Mr. Kumar,Excused
STU000056,Laurie Constable,Class 6,laurie.constable192@school.edu,ASM00057,Accounts,100,Q000056,D,RES000056,1,1.0,2025-05-11,Mrs. Reddy,Excused
STU000057,Karen Constable,Grade 10,karen.constable815@school.edu,ASM00058,Mathematics,75,Q000057,D,RES000057,68,90.67,2024-10-22,Ms. Gupta,Present
STU000058,Ricardo Adkins,Grade 12,ricardo.adkins560@school.edu,ASM00059,Physics,100,Q000058,A,RES000058,4,4.0,2025-04-05,Ms. Gupta,Present
STU000059,Joseph Cashman,Grade 8,joseph.cashman170@school.edu,ASM00060,Biology,50,Q000059,B,RES000059,36,72.0,2024-12-25,Mr. Shah,Late
STU000060,Bobby Powell,Grade 6,bobby.powell805@school.edu,ASM00061,English,75,Q000060,B,RES000060,31,41.33,2024-05-29,Mr. Joshi,Excused
STU000061,Hazel Bumgarner,Grade 12,hazel.bumgarner902@school.edu,ASM00062,Economics,100,Q000061,A,RES000061,58,58.0,2025-05-14,Ms. Patel,Excused
STU000063,Raquel Haley,Grade 9,raquel.haley1@school.edu,ASM00064,Chemistry,75,Q000063,A,RES000063,35,46.67,2024-04-05,Mrs. Singh,Absent
STU000064,Willie Davis,Class 6,willie.davis2@school.edu,ASM00065,Physics,200,Q000064,A,RES000064,57,28.5,2025-06-15,Mrs. Singh,Present
STU000065,Theresa Anderson,Grade 8,theresa.anderson377@school.edu,ASM00066,Geography,75,Q000065,B,RES000065,8,10.67,2025-06-27,Mr. Joshi,Late
STU000066,Hedy Talton,Grade 8,hedy.talton919@school.edu,ASM00067,Physics,100,Q000066,C,RES000066,54,54.0,2024-11-18,Mr. Verma,Absent
STU000067,Willard Rissell,Class 8,willard.rissell211@school.edu,ASM00068,Economics,150,Q000067,B,RES000067,75,50.0,2025-10-23,Ms. Patel,Excused
STU000068,Maynard Caldwell,Class 8,abc@gmail.com,ASM00069,Geography,200,Q000068,A,RES000068,174,87.0,2024-06-25,Mr. Sharma,Present
STU000070,Robert Holland,Grade 7,robert.holland782@school.edu,ASM00071,English,75,Q000070,D,RES000070,7,9.33,2024-09-07,Mr. Kumar,Excused
STU000071,Kelsey Slocum,Grade 11,abc@gmail.com,ASM00072,Economics,75,Q000071,A,RES000071,47,62.67,2024-05-09,Ms. Nair,Late
STU000072,Craig German,Class 6,abc@gmail.com,ASM00073,Accounts,100,Q000072,A,RES000072,20,20.0,2024-09-18,Mr. Sharma,Present
STU000073,Alisa Clyde,Class 7,abc@gmail.com,ASM00074,Geography,100,Q000073,A,RES000073,31,31.0,2025-03-02,Mrs. Singh,Present
STU000074,Myrtle Gillespie,Grade 10,myrtle.gillespie899@school.edu,ASM00075,English,50,Q000074,B,RES000074,35,70.0,2025-04-12,Mrs. Reddy,Late
STU000075,Randee Edwards,Grade 8,randee.edwards779@school.edu,ASM00076,Mathematics,50,Q000075,A,RES000075,14,28.0,2025-07-08,Mr. Verma,Present
STU000077,Deborah Adams,Grade 9,deborah.adams679@school.edu,ASM00078,English,100,Q000077,D,RES000077,50,50.0,2025-12-18,Ms. Nair,Absent
STU000078,Dorothy Jacko,Grade 12,dorothy.jacko478@school.edu,ASM00079,Physics,75,Q000078,A,RES000078,57,76.0,2024-11-11,Ms. Nair,Absent
STU000079,Megan Johnston,Grade 11,megan.johnston729@school.edu,ASM00080,Geography,100,Q000079,D,RES000079,33,33.0,2024-06-27,Mr. Kumar,Absent
STU000080,William Slocum,Grade 11,william.slocum203@school.edu,ASM00081,Physics,50,Q000080,D,RES000080,1,2.0,2024-03-07,Mr. Sharma,Present
STU000081,Bessie Wood,Class 6,abc@gmail.com,ASM00082,Mathematics,150,Q000081,B,RES000081,44,29.33,2024-12-28,Ms. Nair,Late
STU000082,Hedy Emmons,Class 6,hedy.emmons422@school.edu,ASM00083,Mathematics,100,Q000082,B,RES000082,49,49.0,2024-05-20,Mrs. Reddy,Excused
STU000083,Georgia Astorga,Grade 8,georgia.astorga398@school.edu,ASM00084,Mathematics,200,Q000083,D,RES000083,56,28.0,2024-01-31,Mr. Verma,Absent
STU000084,Judy Keenan,Grade 11,judy.keenan867@school.edu,ASM00085,Chemistry,75,Q000084,A,RES000084,75,100.0,2024-11-21,Mrs. Reddy,Absent
STU000085,Ricardo Pimentel,Grade 9,ricardo.pimentel93@school.edu,ASM00086,Accounts,50,Q000085,B,RES000085,33,66.0,2025-05-04,Ms. Gupta,Late
STU000086,Jack Petrey,Grade 7,jack.petrey940@school.edu,ASM00087,Economics,50,Q000086,A,RES000086,23,46.0,2025-12-22,Mr. Joshi,Late
STU000087,Alice Gillette,Class 8,alice.gillette179@school.edu,ASM00088,History,200,Q000087,C,RES000087,44,22.0,2025-01-22,Mr. Joshi,Absent
STU000088,Jack Vanausdal,Class 8,abc@gmail.com,ASM00089,Biology,150,Q000088,C,RES000088,36,24.0,2024-12-05,Ms. Gupta,Absent
STU000089,Anne Swagerty,Grade 11,anne.swagerty710@school.edu,ASM00090,English,50,Q000089,D,RES000089,3,6.0,2025-01-30,Mr. Joshi,Excused
STU000090,Sheila Fleischman,Grade 9,sheila.fleischman777@school.edu,ASM00091,Chemistry,50,Q000090,C,RES000090,2,4.0,2024-10-28,Ms. Patel,Present
STU000091,Henry Brooks,Grade 6,henry.brooks629@school.edu,ASM00092,Geography,200,Q000091,C,RES000091,111,55.5,2024-06-09,Mr. Shah,Absent
STU000094,John Davis,Grade 7,john.davis155@school.edu,ASM00095,Physics,200,Q000094,A,RES000094,105,52.5,2025-08-26,Ms. Nair,Excused
STU000096,David Adkins,Grade 11,david.adkins610@school.edu,ASM00097,Physics,150,Q000096,C,RES000096,142,94.67,2025-02-10,Mr. Joshi,Present
STU000097,Kermit Buffington,Grade 7,kermit.buffington603@school.edu,ASM00098,Physics,100,Q000097,D,RES000097,68,68.0,2024-12-18,Ms. Nair,Excused
STU000098,Cynthia Sipes,Grade 9,cynthia.sipes911@school.edu,ASM00099,Mathematics,100,Q000098,C,RES000098,47,47.0,2024-01-21,Mrs. Singh,Late
STU000099,Joey Napper,Class 8,joey.napper747@school.edu,ASM00100,Physics,150,Q000099,C,RES000099,54,36.0,2025-02-20,Mr. Kumar,Absent
STU000100,Beulah Worden,Grade 9,beulah.worden178@school.edu,ASM00101,Mathematics,50,Q000100,B,RES000100,29,58.0,2024-02-21,Ms. Patel,Late
STU000101,Elizabeth Spillett,Grade 8,elizabeth.spillett609@school.edu,ASM00102,Computer Science,100,Q000101,A,RES000101,20,20.0,2024-09-21,Mrs. Singh,Present
STU000102,Stacy Goldberg,Grade 12,stacy.goldberg212@school.edu,ASM00103,Economics,50,Q000102,A,RES000102,30,60.0,2024-05-15,Mr. Verma,Late
STU000103,Linda Fentress,Class 6,abc@gmail.com,ASM00104,English,200,Q000103,C,RES000103,26,13.0,2024-01-08,Mr. Verma,Late
STU000104,Dorothy Coates,Grade 10,dorothy.coates729@school.edu,ASM00105,Biology,200,Q000104,D,RES000104,195,97.5,2024-09-03,Mr. Verma,Absent
STU000105,Mae Powell,Class 8,mae.powell37@school.edu,ASM00106,Biology,75,Q000105,C,RES000105,68,90.67,2025-10-15,Ms. Patel,Absent
STU000106,Alisa Miles,Grade 11,alisa.miles573@school.edu,ASM00107,Physics,100,Q000106,C,RES000106,28,28.0,2024-11-10,Mrs. Reddy,Late
STU000107,Kimberly Rester,Grade 7,kimberly.rester967@school.edu,ASM00108,Computer Science,200,Q000107,C,RES000107,30,15.0,2025-11-28,Mr. Joshi,Present
STU000108,Daniel Oconnor,Grade 7,daniel.oconnor884@school.edu,ASM00109,Computer Science,75,Q000108,D,RES000108,40,53.33,2025-10-11,Ms. Patel,Absent
STU000109,Earline Hines,Class 6,earline.hines414@school.edu,ASM00110,Geography,50,Q000109,A,RES000109,34,68.0,2024-07-23,Mrs. Singh,Absent
STU000110,John Bell,Class 7,john.bell106@school.edu,ASM00111,Accounts,75,Q000110,C,RES000110,8,10.67,2024-02-16,Ms. Gupta,Late
STU000111,Ernest Docken,Grade 6,abc@gmail.com,ASM00112,Biology,75,Q000111,B,RES000111,27,36.0,2024-01-23,Mr. Verma,Late
STU000112,Tammy Mcclendon,Grade 7,tammy.mcclendon50@school.edu,ASM00113,Mathematics,50,Q000112,C,RES000112,26,52.0,2025-03-30,Mr. Verma,Absent
STU000113,David Yantzer,Class 8,david.yantzer277@school.edu,ASM00114,Chemistry,50,Q000113,A,RES000113,32,64.0,2025-09-24,Mr. Shah,Excused
STU000114,Patricia Caro,Grade 6,patricia.caro303@school.edu,ASM00115,Economics,75,Q000114,A,RES000114,61,81.33,2024-12-04,Ms. Patel,Present
STU000115,Beulah Luther,Grade 9,beulah.luther104@school.edu,ASM00116,Computer Science,100,Q000115,B,RES000115,59,59.0,2024-02-21,Ms. Patel,Late
STU000116,Clyde Worden,Grade 8,clyde.worden142@school.edu,ASM00117,History,150,Q000116,C,RES000116,68,45.33,2024-04-05,Mr. Joshi,Present
STU000117,John Worden,Grade 7,john.worden908@school.edu,ASM00118,Chemistry,75,Q000117,D,RES000117,13,17.33,2025-03-02,Mr. Kumar,Excused
STU000118,Eloisa Kocon,Grade 7,eloisa.kocon452@school.edu,ASM00119,English,50,Q000118,B,RES000118,45,90.0,2025-11-25,Ms. Gupta,Present
STU000119,Reuben Groulx,Class 8,reuben.groulx860@school.edu,ASM00120,Mathematics,75,Q000119,B,RES000119,64,85.33,2025-04-25,Mr. Sharma,Excused
STU000121,Christy March,Grade 10,christy.march619@school.edu,ASM00122,Economics,150,Q000121,B,RES000121,87,58.0,2025-01-07,Ms. Gupta,Late
STU000122,Zack Bumgarner,Grade 6,zack.bumgarner675@school.edu,ASM00123,History,100,Q000122,A,RES000122,70,70.0,2025-06-18,Mr. Joshi,Absent
STU000123,Olivia Judkins,Grade 9,olivia.judkins124@school.edu,ASM00124,Computer Science,100,Q000123,A,RES000123,13,13.0,2025-02-28,Mrs. Reddy,Excused
STU000124,Alexander Hecht,Class 6,alexander.hecht859@school.edu,ASM00125,Economics,200,Q000124,C,RES000124,44,22.0,2024-05-11,Mr. Verma,Excused
STU000125,Edith Pirrone,Grade 8,edith.pirrone825@school.edu,ASM00126,Geography,200,Q000125,B,RES000125,80,40.0,2025-12-29,Mr. Kumar,Absent
STU000126,Megan Bethea,Grade 11,abc@gmail.com,ASM00127,Physics,200,Q000126,D,RES000126,122,61.0,2025-08-19,Mr. Kumar,Excused
STU000127,Kimberly Kennedy,Grade 10,kimberly.kennedy769@school.edu,ASM00128,English,50,Q000127,A,RES000127,44,88.0,2024-10-29,Mr. Shah,Excused
STU000128,Rudolph Sanchez,Grade 10,rudolph.sanchez244@school.edu,ASM00129,Mathematics,150,Q000128,A,RES000128,106,70.67,2025-12-02,Mrs. Reddy,Late
STU000129,Luisa Shea,Class 8,abc@gmail.com,ASM00130,Economics,75,Q000129,A,RES000129,37,49.33,2025-04-04,Mr. Verma,Absent
STU000130,Laurie Harmon,Grade 6,abc@gmail.com,ASM00131,History,75,Q000130,A,RES000130,5,6.67,2024-06-06,Ms. Gupta,Excused
STU000131,Greg Walker,Grade 8,greg.walker806@school.edu,ASM00132,Geography,50,Q000131,C,RES000131,22,44.0,2024-08-14,Mr. Shah,Late
STU000132,Walter Mangels,Class 6,abc@gmail.com,ASM00133,Biology,50,Q000132,A,RES000132,43,86.0,2024-11-24,Mr. Shah,Late
STU000135,Osvaldo Mompoint,Grade 6,osvaldo.mompoint444@school.edu,ASM00136,Geography,200,Q000135,A,RES000135,1,0.5,2025-10-18,Mr. Verma,Late
STU000136,Kathleen Hernandez,Grade 6,kathleen.hernandez405@school.edu,ASM00137,Computer Science,200,Q000136,C,RES000136,56,28.0,2024-05-19,Ms. Gupta,Late
STU000137,Dorothy Nguyen,Grade 7,dorothy.nguyen569@school.edu,ASM00138,Mathematics,200,Q000137,A,RES000137,152,76.0,2025-02-07,Mr. Shah,Absent
STU000139,Tara Minert,Grade 7,tara.minert672@school.edu,ASM00140,English,75,Q000139,C,RES000139,40,53.33,2025-05-12,Ms. Gupta,Late
STU000140,Lois Mason,Grade 10,abc@gmail.com,ASM00141,History,100,Q000140,C,RES000140,61,61.0,2025-04-18,Mr. Verma,Present
STU000141,Harold Mcrae,Grade 7,harold.mcrae270@school.edu,ASM00142,Physics,200,Q000141,D,RES000141,161,80.5,2024-02-01,Mr. Shah,Present
STU000142,Alisa Trott,Grade 10,alisa.trott229@school.edu,ASM00143,Chemistry,200,Q000142,A,RES000142,130,65.0,2024-04-02,Ms. Nair,Absent
STU000143,Sean Durbin,Grade 11,sean.durbin750@school.edu,ASM00144,Mathematics,150,Q000143,B,RES000143,59,39.33,2024-03-05,Mrs. Reddy,Absent
STU000144,Addie Cimini,Class 7,addie.cimini332@school.edu,ASM00145,English,200,Q000144,D,RES000144,139,69.5,2025-08-06,Mrs. Singh,Present
STU000145,Michael Mersch,Class 8,michael.mersch812@school.edu,ASM00146,Mathematics,150,Q000145,C,RES000145,42,28.0,2024-08-23,Ms. Patel,Absent
STU000146,Randy Manning,Class 6,randy.manning117@school.edu,ASM00147,Computer Science,200,Q000146,B,RES000146,41,20.5,2025-10-24,Mr. Shah,Absent
STU000147,Megan Jensen,Grade 8,megan.jensen171@school.edu,ASM00148,Economics,200,Q000147,C,RES000147,144,72.0,2025-10-14,Mrs. Reddy,Absent
STU000148,Jonathan Walker,Grade 8,abc@gmail.com,ASM00149,Accounts,75,Q000148,A,RES000148,43,57.33,2025-04-09,Mr. Shah,Excused
STU000149,Joseph Nunes,Class 8,joseph.nunes847@school.edu,ASM00150,Physics,150,Q000149,A,RES000149,9,6.0,2025-06-28,Mr. Sharma,Excused
STU000150,Jessica Shannon,Grade 11,jessica.shannon535@school.edu,ASM00151,Mathematics,75,Q000150,A,RES000150,61,81.33,2025-01-25,Ms. Patel,Absent
STU000151,Robert Mettlen,Grade 6,robert.mettlen194@school.edu,ASM00152,Accounts,200,Q000151,C,RES000151,1,0.5,2025-01-19,Mr. Verma,Late
STU000152,Rebekah Regan,Grade 10,rebekah.regan375@school.edu,ASM00153,Geography,150,Q000152,C,RES000152,141,94.0,2025-07-24,Mr. Joshi,Late
STU000154,Alisa Swearingen,Grade 9,abc@gmail.com,ASM00155,History,200,Q000154,C,RES000154,9,4.5,2025-01-28,Mr. Shah,Absent
STU000155,Bonita Baker,Grade 9,bonita.baker529@school.edu,ASM00156,Accounts,50,Q000155,B,RES000155,23,46.0,2024-09-01,Ms. Nair,Late
STU000157,Olivia Knight,Class 7,olivia.knight349@school.edu,ASM00158,English,150,Q000157,B,RES000157,96,64.0,2025-07-30,Mr. Sharma,Excused
STU000158,Jenny Darosa,Grade 9,jenny.darosa649@school.edu,ASM00159,History,100,Q000158,C,RES000158,66,66.0,2025-07-02,Ms. Gupta,Late
STU000159,Deborah Vaughn,Class 8,deborah.vaughn363@school.edu,ASM00160,English,75,Q000159,B,RES000159,63,84.0,2024-07-23,Ms. Nair,Absent
STU000160,Louise Jacko,Class 6,louise.jacko693@school.edu,ASM00161,Accounts,200,Q000160,C,RES000160,10,5.0,2025-05-08,Mr. Shah,Late
STU000162,Nadine East,Grade 8,nadine.east883@school.edu,ASM00163,Economics,75,Q000162,C,RES000162,34,45.33,2025-04-27,Ms. Gupta,Excused
STU000163,Ronald Regan,Grade 8,ronald.regan185@school.edu,ASM00164,Accounts,50,Q000163,D,RES000163,46,92.0,2024-10-03,Mrs. Reddy,Absent
STU000164,Janice Gross,Class 7,janice.gross138@school.edu,ASM00165,Economics,150,Q000164,A,RES000164,76,50.67,2024-09-13,Mr. Verma,Present
STU000165,Walter Wilkins,Grade 10,walter.wilkins763@school.edu,ASM00166,History,200,Q000165,D,RES000165,142,71.0,2024-09-20,Ms. Nair,Late
STU000166,Michael Bethea,Grade 11,michael.bethea292@school.edu,ASM00167,Economics,150,Q000166,D,RES000166,20,13.33,2025-01-25,Ms. Nair,Absent
STU000167,Brenda Mersch,Grade 11,brenda.mersch352@school.edu,ASM00168,History,100,Q000167,D,RES000167,77,77.0,2025-10-22,Mr. Kumar,Excused
STU000168,Denise Kelley,Grade 9,abc@gmail.com,ASM00169,Chemistry,50,Q000168,A,RES000168,6,12.0,2024-03-06,Mr. Verma,Excused
STU000169,Mark Jacko,Grade 9,mark.jacko317@school.edu,ASM00170,English,75,Q000169,A,RES000169,16,21.33,2025-06-23,Mr. Verma,Late
STU000170,Henry Lemieux,Class 8,henry.lemieux182@school.edu,ASM00171,Computer Science,200,Q000170,C,RES000170,163,81.5,2025-10-16,Mr. Verma,Absent
STU000171,John Martin,Grade 11,john.martin835@school.edu,ASM00172,English,200,Q000171,D,RES000171,2,1.0,2025-12-05,Mr. Sharma,Present
STU000172,Henry Villarreal,Grade 9,henry.villarreal448@school.edu,ASM00173,Chemistry,150,Q000172,B,RES000172,56,37.33,2024-09-26,Mr. Joshi,Late
STU000173,Thomas Walker,Class 6,abc@gmail.com,ASM00174,Accounts,100,Q000173,C,RES000173,89,89.0,2025-09-29,Ms. Patel,Absent
STU000174,Helga Phillips,Grade 9,abc@gmail.com,ASM00175,Physics,50,Q000174,C,RES000174,31,62.0,2024-08-10,Ms. Patel,Late
STU000175,Hester Menchaca,Grade 7,hester.menchaca795@school.edu,ASM00176,Economics,75,Q000175,A,RES000175,24,32.0,2024-09-13,Mr. Sharma,Absent
STU000176,John Chambers,Grade 12,abc@gmail.com,ASM00177,English,75,Q000176,C,RES000176,5,6.67,2025-07-16,Mrs. Singh,Late
STU000177,Patricia Jones,Grade 8,patricia.jones333@school.edu,ASM00178,English,150,Q000177,D,RES000177,62,41.33,2024-01-10,Ms. Nair,Late
STU000178,Gary Fuson,Grade 8,gary.fuson365@school.edu,ASM00179,Economics,75,Q000178,C,RES000178,62,82.67,2024-08-26,Mr. Kumar,Absent
STU000179,Robert Brown,Grade 10,robert.brown449@school.edu,ASM00180,Economics,75,Q000179,C,RES000179,72,96.0,2024-07-10,Ms. Patel,Late
STU000180,Bruce Jacko,Grade 11,bruce.jacko270@school.edu,ASM00181,Computer Science,200,Q000180,C,RES000180,97,48.5,2024-07-08,Mr. Joshi,Late
STU000181,Albert Thompson,Class 8,albert.thompson565@school.edu,ASM00182,English,150,Q000181,A,RES000181,82,54.67,2024-04-23,Mrs. Reddy,Absent
STU000182,Larry Ellis,Class 6,larry.ellis857@school.edu,ASM00183,Economics,50,Q000182,A,RES000182,23,46.0,2024-08-14,Ms. Patel,Absent
STU000183,Robin Voss,Grade 11,robin.voss572@school.edu,ASM00184,Mathematics,200,Q000183,B,RES000183,10,5.0,2024-03-13,Mr. Shah,Present
STU000184,Carolyn Pina,Grade 12,carolyn.pina572@school.edu,ASM00185,Physics,150,Q000184,B,RES000184,109,72.67,2024-04-16,Mrs. Reddy,Late
STU000185,Madie Palacios,Grade 12,madie.palacios866@school.edu,ASM00186,Geography,200,Q000185,D,RES000185,61,30.5,2025-07-30,Mr. Sharma,Late
STU000186,Robert Pellowski,Grade 6,robert.pellowski912@school.edu,ASM00187,English,75,Q000186,B,RES000186,40,53.33,2024-01-23,Ms. Gupta,Present
